article_id,title,parsed_category,parsed_is_reply,independent_category,independent_is_reply,category_agree,reply_agree,both_agree,has_tag,in_whitelist
M.1585232940.A.B4B,Re: [請益] 美股狂飆是真的已反應？ 已刪文,請益,True,請益,True,True,True,True,True,True
M.1500828166.A.C6A,Re: [新聞] 南科備地 向台積3奈米招手 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1486208241.A.B27,[新聞] 郭董+戴桑 3帖特效藥翻轉夏普 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1720923878.A.614,Re: [請益] 川普遭槍擊對股市有什麼實質影響？,請益,True,請益,True,True,True,True,True,True
M.1709822111.A.FC2,[新聞] 新光人壽營運疲弱 金控、人壽與銀行評等 遭調降,新聞,False,新聞,False,True,True,True,True,True
M.1557137942.A.226,[其他] 今天大崩是分析師的救贖日？ 已刪文,其他,False,其他,False,True,True,True,True,True
M.1696425278.A.107,[新聞] 辨別ETF真假高股息 永豐投信提供撇步,新聞,False,新聞,False,True,True,True,True,True
M.1629900261.A.F96,[情報] 0825 上市櫃外資投信同買排行,情報,False,情報,False,True,True,True,True,True
M.1724847801.A.088,[新聞] 美鬆綁大麻管制修法有變數 大麻股集體慘 跌,新聞,False,新聞,False,True,True,True,True,True
M.1650273767.A.05E,[心得] 盤後快速篩出股票方法,心得,False,心得,False,True,True,True,True,True
M.1717935504.A.7D8,[情報] 3105 穩懋 5月營收,情報,False,情報,False,True,True,True,True,True
M.1714031886.A.295,Re: [情報] 台股史上前十大漲點紀錄(史上第七),情報,True,情報,True,True,True,True,True,True
M.1585295969.A.A66,[新聞] 買錯了？SEC暫停Zoom Technologies交易,新聞,False,新聞,False,True,True,True,True,True
M.1677165007.A.376,[新聞] 南亞科去年每股配息2.13元 DRAM景氣下半 年回穩,新聞,False,新聞,False,True,True,True,True,True
M.1727795622.A.7FB,[新聞] 怕機器人搶走飯碗 東岸碼頭工人罷工導火 線,新聞,False,新聞,False,True,True,True,True,True
M.1492576645.A.069,[新聞] 英擬提前大選國際股全倒 大盤難逃摜破季線 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1524031636.A.342,[新聞] 2018年第一季美國AI新創公司融資創下新 紀錄 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1594149464.A.515,[新聞] 快訊／美國正式退出世界衛生組織,新聞,False,新聞,False,True,True,True,True,True
M.1697436443.A.779,[新聞] 元大復華高息ETF 搶手,新聞,False,新聞,False,True,True,True,True,True
M.1563195065.A.817,[其他] 7/15 台灣店頭市場三大法人買賣超前20名,其他,False,其他,False,True,True,True,True,True
M.1627355969.A.1AA,[請益] 板上還有水手嗎？ 已刪文,請益,False,請益,False,True,True,True,True,True
M.1445919467.A.23D,Re: [新聞] 《科技》Q4全球NB出貨量恐年減17.5%，歷 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1693002728.A.5BB,Re: [心得] 切身之痛 不要借錢投資,心得,True,心得,True,True,True,True,True,True
M.1616739376.A.3BB,[新聞] 英特爾放話添不確定 台積電 外資二年來 首降目標價,新聞,False,新聞,False,True,True,True,True,True
M.1580358509.A.F50,[心得] 別人恐懼我貪婪？翻身靠這波～ 已刪文,心得,False,心得,False,True,True,True,True,True
M.1675252512.A.E05,[新聞] 台積電僅排第4！兩表掌握上市公司誰領最,新聞,False,新聞,False,True,True,True,True,True
M.1599459891.A.AB4,"[心得] 有錢人存股,沒錢的人存什麼?",心得,False,心得,False,True,True,True,True,True
M.1632863316.A.F9F,Re: [標的] 3008 大立光,標的,True,標的,True,True,True,True,True,True
M.1658208528.A.3DB,Re: [新聞] 普亭出狠招！外國買家不以盧布買天 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1677469755.A.210,[新聞] 央行示警全球經濟4風險 通膨仍有升溫可能,新聞,False,新聞,False,True,True,True,True,True
M.1584635607.A.358,Re: [請益]  00672L 油正二這樣算出老千嗎？,請益,True,請益,True,True,True,True,True,True
M.1636106558.A.C6A,Re: [心得] 生技失利心得分享 已刪文,心得,True,心得,True,True,True,True,True,True
M.1552401348.A.6C4,[其他] 3/12 台灣集中市場外資買賣超前30名,其他,False,其他,False,True,True,True,True,True
M.1713947232.A.F36,[標的] 9938 百和 傳產復甦多,標的,False,標的,False,True,True,True,True,True
M.1563614544.A.FB4,[新聞] 英國油輪遭伊朗扣押 川普放話：美英將合 作解決事端,新聞,False,新聞,False,True,True,True,True,True
M.1471208548.A.EF4,[新聞] 太陽能急凍 台廠大減產 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1533093507.A.9CE,Re: [請益] 美律空單處理方法 已刪文,請益,True,請益,True,True,True,True,True,True
M.1699862270.A.C0B,[新聞] 波音今年銷售慘輸空巴 習近平送暖 傳拜 習會宣布結凍737max交機,新聞,False,新聞,False,True,True,True,True,True
M.1719558968.A.634,[情報] 113/06/28 櫃買法人及個股買賣超,情報,False,情報,False,True,True,True,True,True
M.1632279042.A.659,Re: [請益] 要如何分辨現在的位置是不是阿呆谷,請益,True,請益,True,True,True,True,True,True
M.1528551532.A.F9C,[請益] 我要找一篇文章 已刪文,請益,False,請益,False,True,True,True,True,True
M.1522733199.A.D64,Re: [其他] 減資走鐘 財政部金管會3年無作為 已刪文,其他,True,其他,True,True,True,True,True,True
M.1443507366.A.5D1,[心得] 日經破底了... 已刪文,心得,False,心得,False,True,True,True,True,True
M.1616072003.A.49A,Re: [其他] 美國10年期公債殖利率突破1.7%,其他,True,其他,True,True,True,True,True,True
M.1731218460.A.2BA,Re: [請益] 黃金現貨準備大跌?,請益,True,請益,True,True,True,True,True,True
M.1440300504.A.76F,Re: [標的] 這些股該停損嗎？ 已刪文,標的,True,標的,True,True,True,True,True,True
M.1455683883.A.284,[請益] 請問是否有此功能自動跟單程式? 已刪文,請益,False,請益,False,True,True,True,True,True
M.1652282711.A.CDC,[新聞] 羅志祥由黑翻紅！小巨蛋萬張門票幾乎賣 光「心情很激動」 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1625384996.A.834,[新聞] 勞動基金5月賠191億 下半年要撥400億挺台 股 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1515213875.A.D55,[公告] N5D6M6C 違反板規8 水桶10年,公告,False,公告,False,True,True,True,True,True
M.1567386766.A.DE0,Re: [標的] 好樂迪9943,標的,True,標的,True,True,True,True,True,True
M.1724668483.A.818,[新聞] 中信金搶親新光金送件了！　總價「1314億 元」金管會已收到,新聞,False,新聞,False,True,True,True,True,True
M.1627229514.A.530,Re: [新聞] 連續3年獲利破百億 徐旭東：想不出你為何 不投資亞泥？,新聞,True,新聞,True,True,True,True,True,True
M.1501833851.A.926,[標的] 英業達 2356 空 (26.1-26.3) 已刪文,標的,False,標的,False,True,True,True,True,True
M.1486975838.A.0CD,[新聞] 陸智慧機邁向高階 外資喊買這兩檔 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1736654003.A.6A0,Re: [新聞] 財務改善報告出爐 台電：民生電價需適時反映成本,新聞,True,新聞,True,True,True,True,True,True
M.1441003898.A.849,[請益] 國安基金的進場 已刪文,請益,False,請益,False,True,True,True,True,True
M.1722237816.A.15B,[情報] 4764 雙鍵 龜山區火災事件說明,情報,False,情報,False,True,True,True,True,True
M.1733387498.A.AED,[情報] 3443 創意 113年11月營收,情報,False,情報,False,True,True,True,True,True
M.1720412428.A.F02,Re: [請益] 正二跟TQQQ的風險在哪？,請益,True,請益,True,True,True,True,True,True
M.1637512757.A.351,Re: [請益] 買0050，退休全換0056是最佳解嗎？,請益,True,請益,True,True,True,True,True,True
M.1679055438.A.FF9,[情報] 0317 上市櫃外資投信同買排行,情報,False,情報,False,True,True,True,True,True
M.1496496882.A.5C4,[其他] 6/3 台灣集中市場自營商買賣超前30名 已刪文,其他,False,其他,False,True,True,True,True,True
M.1591965423.A.984,Re: [心得] 美股有史以來暴跌之後必定大漲,心得,True,心得,True,True,True,True,True,True
M.1624613157.A.BAB,[請益] 花旗消金有哪幾家可能得手？,請益,False,請益,False,True,True,True,True,True
M.1588921022.A.33F,[新聞] 全球2020年第一季智慧型手機出貨量衰退11 %，印度與5G逆勢成長,新聞,False,新聞,False,True,True,True,True,True
M.1667368836.A.5E6,[閒聊] 2022/11/02 盤後閒聊,閒聊,False,閒聊,False,True,True,True,True,True
M.1554430751.A.D16,"""30週線突破買進""是好方法否?",未分類,False,未分類,False,True,True,True,False,False
M.1657621135.A.71D,[情報] 富邦金除息日7/27,情報,False,情報,False,True,True,True,True,True
M.1729215455.A.200,[新聞] US probes TSMC over potential links to China’s Huawei- The Information,新聞,False,新聞,False,True,True,True,True,True
M.1482246952.A.4EB,[標的] 2887 台新金 彰銀經營權到底有無搞頭？ 已刪文,標的,False,標的,False,True,True,True,True,True
M.1485340073.A.B36,Re: [請益] 抄底王在版上標的大多股本都好小? 已刪文,請益,True,請益,True,True,True,True,True,True
M.1730565598.A.888,Re: [新聞] 全球最妖股！　單日飆漲6692635%,新聞,True,新聞,True,True,True,True,True,True
M.1730975844.A.3F1,[情報] 3558 神準 10月份營收,情報,False,情報,False,True,True,True,True,True
M.1565053185.A.06B,[新聞] 人民幣貶破七…台灣代工廠「鬆口氣」,新聞,False,新聞,False,True,True,True,True,True
M.1575529663.A.11E,[請益] 凌陽創新5236 已刪文,請益,False,請益,False,True,True,True,True,True
M.1644409350.A.4F6,[請益] 升息一碼 放款獲利如何試算？,請益,False,請益,False,True,True,True,True,True
M.1612367113.A.B05,"[請益] 退出CEO,改當太上皇,這麼做的用意和好處? 已刪文",請益,False,請益,False,True,True,True,True,True
M.1652509408.A.1A9,[新聞] 520是call訊嗎3／存股達人陳重銘：淡季 先播種,新聞,False,新聞,False,True,True,True,True,True
M.1560313938.A.288,[新聞]全家打敗小七 台鐵據點大洗牌,新聞,False,新聞,False,True,True,True,True,True
M.1625489175.A.640,[標的] 2603 長榮 安心多,標的,False,標的,False,True,True,True,True,True
M.1514540357.A.A2A,[標的] 理財新手一年心得 已刪文,標的,False,標的,False,True,True,True,True,True
M.1549108402.A.B0B,[新聞] 輸人不輸陣？ 俄國跟進美國宣布退出中程 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1521608677.A.5B0,[請益] 矽晶圓股為何每天開高殺低???? 已刪文,請益,False,請益,False,True,True,True,True,True
M.1592528356.A.23C,[新聞] 〈央行理監事會〉談房價議題 楊金龍：房 地產若泡沫化恐損及銀行業,新聞,False,新聞,False,True,True,True,True,True
M.1508334550.A.0BD,Re: [請益] 股市崩盤時  哪種類股是防禦股 已刪文,請益,True,請益,True,True,True,True,True,True
M.1641269309.A.85E,Re: [請益] 所以台積電的利多是什麼??,請益,True,請益,True,True,True,True,True,True
M.1726911403.A.567,Re: [新聞] 央行「打炒房」衝擊換屋族？政院:密,新聞,True,新聞,True,True,True,True,True,True
M.1620869309.A.668,[標的] 4121 優盛 多,標的,False,標的,False,True,True,True,True,True
M.1446995005.A.635,[心得] 張忠謀出現在新聞，台股有80%機率大漲 已刪文,心得,False,心得,False,True,True,True,True,True
M.1645841533.A.E2A,[標的] Coin.US 永動機多,標的,False,標的,False,True,True,True,True,True
M.1586437325.A.99C,[新聞] 步瑞幸咖啡後塵 2隻中概股涉財務造假醜聞,新聞,False,新聞,False,True,True,True,True,True
M.1732183227.A.C14,[情報] 3625 西勝 股價波動異常 10月自結 -0.14,情報,False,情報,False,True,True,True,True,True
M.1690815308.A.C76,Re: [請益] 美債應該購買直債還是債券ETF就好?,請益,True,請益,True,True,True,True,True,True
M.1607589422.A.9BE,[其他] 玉山銀行股票交割備註,其他,False,其他,False,True,True,True,True,True
M.1724134540.A.148,[標的] 台指期 多單 26口 大台,標的,False,標的,False,True,True,True,True,True
M.1435717260.A.F23,[新聞] 希臘確定倒債 七張圖看希臘危機的脈絡 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1441013226.A.263,[請益] 為什麼台灣企業併購風氣不如國外盛行？ 已刪文,請益,False,請益,False,True,True,True,True,True
M.1686558693.A.962,[情報] 2883 開發金 5月自結 0.05 累計 0.30,情報,False,情報,False,True,True,True,True,True
M.1575768878.A.27D,[請益] 油價下週走勢？ 已刪文,請益,False,請益,False,True,True,True,True,True
M.1433865335.A.D0A,[心得] MSCI一句話，台股歡樂陸股崩 已刪文,心得,False,心得,False,True,True,True,True,True
M.1443601014.A.FE3,[新聞] 景氣憂鬱 8月燈號續呈藍燈 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1588237482.A.546,[其他] Tesla Q1 2020財報及電話會議實錄,其他,False,其他,False,True,True,True,True,True
M.1626160644.A.DB3,[請益] 可以向證交所這種處置規定要國賠嗎 已刪文,請益,False,請益,False,True,True,True,True,True
M.1690034330.A.181,Re: [請益] 重壓的勇氣？,請益,True,請益,True,True,True,True,True,True
M.1635768846.A.2A0,[標的] 3265 台星科 中長多,標的,False,標的,False,True,True,True,True,True
M.1490619880.A.A31,Re: [標的] 3299 帛漢 已刪文,標的,True,標的,True,True,True,True,True,True
M.1643449284.A.DEB,Re: [新聞] 台積擴廠 磁吸效應太強 引發缺工,新聞,True,新聞,True,True,True,True,True,True
M.1615820981.A.80B,[標的] 6176 瑞儀,標的,False,標的,False,True,True,True,True,True
M.1644399600.A.051,Re: [請益] 大家都如何選股？技術分析派請進,請益,True,請益,True,True,True,True,True,True
M.1441500707.A.DBA,Re: [新聞] 張忠謀：台灣氛圍「喜歡就民主，不喜歡就民粹」 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1715849945.A.73F,[新聞] 蘋果iOS 17.5爆隱私危機！iPhone多年前刪 掉的色色私密照又出現了,新聞,False,新聞,False,True,True,True,True,True
M.1642292294.A.3C0,[新聞] 韓證券市場2021年外資凈流入387.1億美元,新聞,False,新聞,False,True,True,True,True,True
M.1608175907.A.62F,[新聞] 謝金河分析大立光崩跌33% 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1610346992.A.CB8,Re: [標的] 台積電 多 已刪文,標的,True,標的,True,True,True,True,True,True
M.1702207031.A.BBE,Re: [請益] 台灣受雇中位數 大輸美日韓星,請益,True,請益,True,True,True,True,True,True
M.1732678842.A.C0E,Re: [請益] 清流君和周教授不會精神錯亂嗎？,請益,True,請益,True,True,True,True,True,True
M.1496455703.A.E5B,[標的] 欣興 3037百家爭鳴 已刪文,標的,False,標的,False,True,True,True,True,True
M.1435916910.A.8FF,Re: [標的] 中國ETF 006** 等 已刪文,標的,True,標的,True,True,True,True,True,True
M.1658992184.A.DCB,[情報] 111年07月28日 三大法人買賣金額統計表,情報,False,情報,False,True,True,True,True,True
M.1710612733.A.B85,[請益] 為什麼ETF看到的幾乎都私人金控發行的?,請益,False,請益,False,True,True,True,True,True
M.1603813975.A.C2B,[公告] 被水桶之後請勿嘗試賄賂板主 很難看,公告,False,公告,False,True,True,True,True,True
M.1533821692.A.A01,[請益] 請益有調整成本功能的券商 已刪文,請益,False,請益,False,True,True,True,True,True
M.1584367205.A.41E,[請益] 趨勢明顯為何仍不願作空 已刪文,請益,False,請益,False,True,True,True,True,True
M.1651648289.A.79F,[新聞] 巴菲特「猴子比理財顧問好！」 怒華爾街把股市變賭場,新聞,False,新聞,False,True,True,True,True,True
M.1715819336.A.318,[新聞]《光電股》錸寶獲雲豹14億儲能櫃合約 推動 子公司來穎上市櫃,新聞,False,新聞,False,True,True,True,True,True
M.1530853631.A.3A0,[新聞] 美媒曝川普為2020年競選做準備 旗幟在大 陸生產 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1598242524.A.DEA,[新聞] 神基2大產品帶動成長，亞系外資評買進,新聞,False,新聞,False,True,True,True,True,True
M.1457937810.A.3A5,[請益] 關於委託下單重複但戶頭只夠扣一筆的問題 已刪文,請益,False,請益,False,True,True,True,True,True
M.1543582174.A.086,[新聞] 美國原油與天然氣蘊藏量創史上新高 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1522677395.A.A82,[請益] 借券餘額和借券賣出餘額 已刪文,請益,False,請益,False,True,True,True,True,True
M.1705559665.A.776,[標的] 6462 神盾-復仇者聯盟多,標的,False,標的,False,True,True,True,True,True
M.1690977458.A.F9A,[情報] 0802 上市櫃外資投信買超金額排行,情報,False,情報,False,True,True,True,True,True
M.1714955402.A.FB0,[閒聊] 2024/05/06 盤中閒聊,閒聊,False,閒聊,False,True,True,True,True,True
M.1658655180.A.4FF,Re: [請益] 日本崩盤真的能導致亞洲金融海嘯？,請益,True,請益,True,True,True,True,True,True
M.1602127446.A.4F5,[新聞] 中環取得大立光普通股股票之公告,新聞,False,新聞,False,True,True,True,True,True
M.1543927105.A.26F,[新聞] 企業永續模範生 亞泥奪TCSA六大獎 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1590825304.A.E9D,Re: [請益] 當沖一個月賺五萬適合專職嗎 已刪文,請益,True,請益,True,True,True,True,True,True
M.1526993165.A.59B,[其他] 107年05月22日信用交易統計 已刪文,其他,False,其他,False,True,True,True,True,True
M.1624622164.A.64C,[情報] 皇翔公告處分有價證券,情報,False,情報,False,True,True,True,True,True
M.1558669259.A.B7C,[新聞] 能源盤後—WTI觸發止損點 原油跌至2個月,新聞,False,新聞,False,True,True,True,True,True
M.1512050563.A.714,Re: [新聞] 提早退休的關鍵在於「被動收入」 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1624793961.A.F16,[新聞] 野村證券預警台灣等六國有金融危機 央行 駁斥,新聞,False,新聞,False,True,True,True,True,True
M.1584954340.A.7AD,[新聞] 新/大當機!電腦手機皆掛 Line:「都是中華,新聞,False,新聞,False,True,True,True,True,True
M.1711910114.A.5BE,Re: [請益] 一次買vs分批買vs等股災才買,請益,True,請益,True,True,True,True,True,True
M.1540912132.A.5E5,[新聞] 川普：談不攏將對2670億美元中國商品徵稅 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1544076003.A.7DB,[閒聊] 2018/12/06 盤後閒聊,閒聊,False,閒聊,False,True,True,True,True,True
M.1615375159.A.0F6,[新聞] 海運費用飆漲 貨櫃短缺 亞洲各國出招干預,新聞,False,新聞,False,True,True,True,True,True
M.1607905865.A.743,[閒聊] 2020/12/14 盤中閒聊,閒聊,False,閒聊,False,True,True,True,True,True
M.1470154191.A.F1F,[新聞] 50年來沒見過！企業獲利崩成這樣 美股還 續漲？ 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1728032370.A.44F,Re: [標的] 2609 陽明 繼續大獲全勝送錢多,標的,True,標的,True,True,True,True,True,True
M.1546521950.A.5C6,[請益] 請問今天usd/jpy最低點是多少? 已刪文,請益,False,請益,False,True,True,True,True,True
M.1625538743.A.384,[標的] 5299.TW 杰力 短多多,標的,False,標的,False,True,True,True,True,True
M.1615333556.A.E86,[新聞] 台積電ADR隨費半反彈2.2% 費半創11個月 最大漲幅,新聞,False,新聞,False,True,True,True,True,True
M.1574241874.A.FAC,Re: [新聞] 官員澄清台商回流資金0元 曾銘宗吼「敢講 試試看」影片曝光,新聞,True,新聞,True,True,True,True,True,True
M.1709542600.A.085,[新聞] 盼春燕一直飛來 群創三大動能添火,新聞,False,新聞,False,True,True,True,True,True
M.1617886414.A.938,[標的] 吉茂 水箱炸裂多,標的,False,標的,False,True,True,True,True,True
M.1580366547.A.165,[其他] 今天有抄底的或加碼的進來喊聲 已刪文,其他,False,其他,False,True,True,True,True,True
M.1704075405.A.1CD,Re: [請益] 高股息ETF 變飆股會是常態嗎,請益,True,請益,True,True,True,True,True,True
M.1689682846.A.C99,[請益] 請問證券戶留印鑑有什麼用？,請益,False,請益,False,True,True,True,True,True
M.1652084566.A.DE1,[情報] 0509 上市外資買賣超排行 已刪文,情報,False,情報,False,True,True,True,True,True
M.1498196985.A.F67,[請益] 券商提供的集保e存摺不能用 已刪文,請益,False,請益,False,True,True,True,True,True
M.1583560287.A.ABF,Re: [心得] 逐筆交易-所有人都將受害,心得,True,心得,True,True,True,True,True,True
M.1586437130.A.035,Re: [請益] 如果爆發社區感染是否台股會暴跌？,請益,True,請益,True,True,True,True,True,True
M.1727703030.A.E2D,Re: [請益] 最容易 買槓桿ETF 反向ETF 的方法？,請益,True,請益,True,True,True,True,True,True
M.1620885235.A.146,[標的] 大盤 多 技術反轉 已刪文,標的,False,標的,False,True,True,True,True,True
M.1670390248.A.FBB,Re: [新聞] 拜登親迎台積電！張忠謀：赴美曾是惡夢，但這次不一樣,新聞,True,新聞,True,True,True,True,True,True
M.1699253512.A.F6E,[情報] 1106 上市投信買賣超排行,情報,False,情報,False,True,True,True,True,True
M.1713941499.A.569,[情報] 0424 上市投信買賣超排行,情報,False,情報,False,True,True,True,True,True
M.1512981823.A.CD3,Re: [標的] 喊6180橘子多的是真心還是反串的？ 已刪文,標的,True,標的,True,True,True,True,True,True
M.1710052149.A.56D,[創作]喇舌,創作,False,創作,False,True,True,True,True,True
M.1547950898.A.1C3,[新聞] 川普：與金正恩下次峰會地點已選定 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1657275328.A.DAA,[新聞] 歐元兌美元 跌至2002年12月以來新低,新聞,False,新聞,False,True,True,True,True,True
M.1622008803.A.608,[閒聊] 2021/05/26 盤後閒聊,閒聊,False,閒聊,False,True,True,True,True,True
M.1441544093.A.6EC,Re: [請益] 所得稅高者  應該棄權息才划算  對嗎? 已刪文,請益,True,請益,True,True,True,True,True,True
M.1563200474.A.85F,[新聞] 台積電撿到槍！日韓幹架 三星災難在後頭,新聞,False,新聞,False,True,True,True,True,True
M.1570683922.A.827,[請益] 為何不持有正2 已刪文,請益,False,請益,False,True,True,True,True,True
M.1658387840.A.E28,[情報] 6133 金橋 達注意標準而公布財報,情報,False,情報,False,True,True,True,True,True
M.1590545862.A.C38,[請益] 生技股人踩人會發生什麼事,請益,False,請益,False,True,True,True,True,True
M.1617064907.A.CB1,[新聞] 台船連年虧損 國發會：承擔國艦國造任務 不會倒閉,新聞,False,新聞,False,True,True,True,True,True
M.1547506741.A.A1E,[新聞] 看衰今年半導體需求，美系外資下修台積電 、聯電目標價 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1647858551.A.09C,[新聞] 驅動IC降價比預期更早!聯詠遭外資開槍 下 調目標價至420元 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1644401471.A.4D1,Re: [請益] 存股還是買第二間房抉擇？,請益,True,請益,True,True,True,True,True,True
M.1620737075.A.C71,[情報] 佳世達（2352）股利,情報,False,情報,False,True,True,True,True,True
M.1475705058.A.DD3,[新聞] 白皮書：日本全力打造「終身勞動」制 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1646357993.A.7D3,[標的] 2330.TW 台積電 哲哲多,標的,False,標的,False,True,True,True,True,True
M.1536519626.A.B3F,Re: [新聞] 0206期權受災戶抗議　硬闖期交所和員 已刪文,新聞,True,新聞,True,True,True,True,True,True
M.1516117916.A.B69,[新聞] 道德因素 長榮海運遭挪威主權基金摒除 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1686304006.A.B9B,[情報] 5425 台半 112年5月營收,情報,False,情報,False,True,True,True,True,True
M.1617804649.A.03D,Re: [公告] 板規討論-處分累進原則 <此篇公告開放回覆>,公告,True,公告,True,True,True,True,True,True
M.1595400391.A.D2B,[創作] 想自由,創作,False,創作,False,True,True,True,True,True
M.1617958422.A.5D4,[請益] 外資是不是改變了？,請益,False,請益,False,True,True,True,True,True
M.1731652923.A.723,[新聞] 新竹工業區大停電！竹北科技園區也波及 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1597145890.A.479,[新聞] 拍板！保德信人壽55億元嫁台新金控,新聞,False,新聞,False,True,True,True,True,True
M.1522827944.A.DAD,Re: [請益] 為什麼要停損呢?不解 已刪文,請益,True,請益,True,True,True,True,True,True
M.1488855660.A.993,[新聞] 蔡英文國艦國造政策再加碼　海軍將建直 升機航母 已刪文,新聞,False,新聞,False,True,True,True,True,True
M.1479346485.A.8A7,[其他] 興櫃有問題，全面無法下單 已刪文,其他,False,其他,False,True,True,True,True,True
