ticker,name_short,sector,is_ky,n_years_available,years,status,note
1304,台聚,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1305,華夏,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1307,三芳,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1308,亞聚,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1309,台達化,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1310,台苯,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1312,國喬,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1313,聯成,塑膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1319,東陽,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1338,廣華-KY,汽車,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1339,昭輝,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1512,瑞利,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1521,大億,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1522,堤維西,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1524,耿鼎,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1525,江申,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1533,車王電,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1536,和大,汽車,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1402,遠東新,紡織,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
1409,新纖,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1410,南染,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1413,宏洲,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1414,東和,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1417,嘉裕,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1418,東華,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1419,新紡,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1423,利華,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1434,福懋,紡織,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1432,大魯閣,運動休閒,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1598,岱宇,運動休閒,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1736,喬山,運動休閒,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2762,世界健身-KY,運動休閒,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
4536,拓凱,運動休閒,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
5306,桂盟,運動休閒,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6670,復盛應用,運動休閒,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6768,志強-KY,運動休閒,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6890,來億-KY,運動休閒,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6965,中傑-KY,運動休閒,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1471,首利,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1582,信錦,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2059,川湖,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2308,台達電,電子零組件,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
2313,華通,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2316,楠梓電,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2327,國巨*,電子零組件,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
2328,廣宇,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2355,敬鵬,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2367,燿華,電子零組件,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1503,士電,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1504,東元,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1506,正道,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1513,中興電,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1514,亞力,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1515,力山,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1517,利奇,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1519,華城,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1526,日馳,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1527,鑽全,電機機械,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1603,華電,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1604,聲寶,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1605,華新,電器電纜,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
1608,華榮,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1609,大亞,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1611,中電,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1612,宏泰,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1614,三洋電,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1615,大山,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1616,億泰,電器電纜,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1707,葡萄王,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1720,生達,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1731,美吾華,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1733,五鼎,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1734,杏輝,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1752,南光,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1760,寶齡富錦,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1762,中化生,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1783,和康生,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1786,科妍,生技,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1708,東鹼,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1709,和益,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1710,東聯,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1711,永光,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1712,興農,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1713,國化,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1714,和桐,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1717,長興,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1718,中纖,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1721,三晃,化學,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1802,台玻,玻璃,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1806,冠軍,玻璃,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1809,中釉,玻璃,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1810,和成,玻璃,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1817,凱撒衛,玻璃,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1903,士紙,造紙,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1904,正隆,造紙,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1905,華紙,造紙,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1906,寶隆,造紙,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1907,永豐餘,造紙,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
1909,榮成,造紙,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6790,永豐實,造紙,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2002,中鋼,鋼鐵,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
2006,東和鋼鐵,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2007,燁興,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2008,高興昌,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2009,第一銅,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2010,春源,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2012,春雨,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2013,中鋼構,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2014,中鴻,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2015,豐興,鋼鐵,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2062,橋椿,居家生活,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
3557,嘉威,居家生活,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6671,三能-KY,居家生活,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6754,匯僑設計,居家生活,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6807,峰源-KY,居家生活,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
8464,億豐,居家生活,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
8482,商億-KY,居家生活,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
9911,櫻花,居家生活,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
9924,福興,居家生活,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
9934,成霖,居家生活,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2072,世紀風電,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
3708,上緯投控,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
5292,華懋,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6581,鋼聯,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6641,基士德-KY,綠能環保,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6869,雲豹能源,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6873,泓德能源,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6887,寶綠特-KY,綠能環保,1,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6923,中台,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
6944,兆聯實業,綠能環保,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2101,南港,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2102,泰豐,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2103,台橡,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2104,國際中橡,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2105,正新,橡膠,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
2106,建大,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2107,厚生,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2108,南帝,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2109,華豐,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2114,鑫永銓,橡膠,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2208,台船,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2601,益航,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2603,長榮,航運,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
2605,新興,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2606,裕民,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2607,榮運,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2608,嘉里大榮,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2609,陽明,航運,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
2610,華航,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2611,志信,航運,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2302,麗正,半導體,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2303,聯電,半導體,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
2329,華泰,半導體,0,0,,NOT_COVERED,MOPS 損益表未抓取；金融業與 -KY 另有科目不同的問題——一律記為未涵蓋，不得填零（PRD §4.5）
2330,台積電,半導體,0,11,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,OK,
